Station_ID,Station Longitude (°E),Station Latitude (°N),Event Date,Event Mag,Event Longitude (°E),Event Latitude (°N),Event Depth (km),Distance (km),dE1 [mm],dN1 [mm],dH1 [mm],dE2 [mm],dN2 [mm],dH2 [mm]
BADG,102.235,51.77,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,3864,3.2,-1.7,0.6,3.2,-1.7,0.6
BJFS,115.892,39.609,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,3650,2.4,-0.6,0.1,2.5,-0.6,0.1
BJNM,116.224,40.245,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,3584,2.6,-0.6,0.1,2.6,-0.7,0.1
CHAN,125.443,43.79,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,2734,4.2,-1.0,0.0,4.3,-1.0,0.0
CHOF,139.531,35.675,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,2483,0.8,-0.3,-1.6,0.8,-0.3,-1.6
IRKJ,104.316,52.219,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,3713,3.5,-1.9,0.7,3.5,-1.9,0.7
IRKM,104.316,52.219,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,3713,3.5,-1.9,0.7,3.5,-1.9,0.7
ISHI,140.219,36.209,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,2399,0.8,-0.3,-1.7,0.8,-0.3,-1.7
MAG0,150.77,59.576,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,982,37.9,-45.1,5.9,37.1,-43.3,5.8
MCIL,153.979,24.29,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,3178,-0.6,1.0,-0.7,-0.6,1.0,-0.7
MIZU,141.133,39.135,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,2090,1.5,-0.4,-2.2,1.5,-0.4,-2.2
MSSA,138.352,36.14,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,2503,1.0,-0.3,-1.5,1.1,-0.3,-1.5
MTKA,139.561,35.68,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,2481,0.8,-0.3,-1.6,0.8,-0.3,-1.6
NRIL,88.36,69.362,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,4014,2.2,-2.4,0.5,2.2,-2.4,0.5
NVSK,83.235,54.841,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,4834,2.0,-1.4,0.5,2.0,-1.4,0.5
OSN3,127.034,37.083,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,3096,2.0,-0.4,-0.5,2.1,-0.4,-0.5
OSN4,127.034,37.083,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,3096,2.0,-0.4,-0.5,2.1,-0.4,-0.5
PETS,158.65,53.023,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,123,2109.3,-1591.7,-1131.7,1511.0,-1097.0,-505.5
SMST,135.937,33.578,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,2862,0.8,-0.2,-1.2,0.8,-0.2,-1.2
STK2,141.845,43.529,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,1690,4.5,-0.8,-2.6,4.6,-0.7,-2.6
SUWN,127.054,37.276,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,3080,2.1,-0.4,-0.5,2.1,-0.4,-0.5
TIXI,128.866,71.634,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,2625,3.9,-5.5,0.8,3.9,-5.4,0.7
TKBG,140.131,36.068,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,2416,0.8,-0.3,-1.7,0.8,-0.3,-1.7
TSK2,140.087,36.106,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,2415,0.8,-0.3,-1.7,0.8,-0.3,-1.7
TSKB,140.088,36.106,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,2415,0.8,-0.3,-1.7,0.8,-0.3,-1.7
ULAB,107.052,47.865,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,3747,3.2,-1.4,0.5,3.3,-1.4,0.5
USUD,138.362,36.133,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,2503,1.0,-0.3,-1.5,1.1,-0.3,-1.5
YAKT,129.68,62.031,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,2099,10.2,-8.6,2.2,10.1,-8.6,2.2
YONS,127.001,37.541,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,3063,2.1,-0.4,-0.5,2.2,-0.4,-0.5
YSSK,142.717,47.03,2025-07-29 23:24:51,8.7,160.26,52.51,36.3,1398,11.2,-1.6,-2.3,11.5,-1.6,-2.3
