Station_ID,Station Longitude (°E),Station Latitude (°N),Event Date,Event Mag,Event Longitude (°E),Event Latitude (°N),Event Depth (km),Distance (km),dE1 [mm],dN1 [mm],dH1 [mm],dE2 [mm],dN2 [mm],dH2 [mm]
ANK2,32.775,39.843,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,475,-8.7,0.1,-2.1,-9.1,0.5,-2.3
ARUC,44.086,40.286,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,704,3.2,-1.3,-0.6,3.0,-1.3,-0.5
BSHM,35.02,32.779,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,521,2.0,12.0,4.1,2.1,11.9,4.1
DRAG,35.392,31.593,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,637,1.3,8.7,3.1,1.3,8.6,3.1
DYNG,23.932,38.079,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,1160,-2.7,0.3,-1.0,-2.7,0.4,-1.0
HAMD,48.534,34.869,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,1067,3.2,-0.4,-1.2,3.3,-0.5,-1.2
ISBA,44.438,33.341,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,796,4.3,-0.7,-1.4,4.4,-0.8,-1.5
ISTA,29.019,41.104,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,818,-3.6,0.4,-1.1,-3.7,0.5,-1.1
IZMI,27.082,38.395,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,886,-4.6,0.6,-1.7,-4.6,0.7,-1.7
KHAR,36.239,50.005,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,1427,-0.1,-1.6,0.6,-0.2,-1.6,0.6
KRS1,43.093,40.588,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,648,2.5,-2.3,-0.1,2.3,-2.4,0.0
MERS,34.256,36.566,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,256,-44.6,2.7,-12.6,-40.7,3.7,-11.5
MIKL,31.973,46.973,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,1166,-0.3,-1.7,0.6,-0.3,-1.7,0.6
NICO,33.396,35.141,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,397,-7.9,4.9,-1.3,6189.1,-7797.5,3615.4
ORID,20.794,41.127,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,1468,-1.5,0.2,-0.5,-1.5,0.3,-0.6
POLV,34.543,49.603,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,1396,-0.1,-1.6,0.6,-0.2,-1.6,0.6
RAMO,34.763,30.598,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,758,0.9,5.9,2.1,1.0,5.9,2.2
SOFI,23.395,42.556,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,1309,-1.5,0.2,-0.5,-1.6,0.2,-0.5
TEHN,51.334,35.697,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,1292,2.2,-0.2,-0.8,2.2,-0.2,-0.8
TUBI,29.451,40.787,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,769,-4.2,0.5,-1.3,-4.3,0.6,-1.3
ZECK,41.565,43.788,2023-02-06 01:17:36,7.8,37.03,37.17,15.1,829,-0.6,-4.1,1.5,-0.6,-4.1,1.5
